mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,mos,audio_id
-282.822509765625,25.46403694152832,-18.232297897338867,-9.868658065795898,-31.038969039916992,-12.737837791442871,-13.202597618103027,-5.232603073120117,-1.0061085224151611,-20.50823402404785,3.6392736434936523,8.431076049804688,10.265251159667969,0.07493492215871811,0.15282818651574803,2094.1068399682977,1753.8782014244857,3871.0014763779527,4.0,sys0001-utt0001
-319.0489196777344,54.70638656616211,-8.316951751708984,6.627645015716553,-24.257017135620117,9.237309455871582,-21.236814498901367,-4.865667819976807,9.227316856384277,-21.23594856262207,0.02570442296564579,-12.445036888122559,-2.4460065364837646,0.041027579456567764,0.14564407703488372,2026.273508062597,1720.8727141620077,3979.6148255813955,4.6,sys0001-utt0002
-297.87750244140625,3.354530096054077,-12.135918617248535,-19.50149917602539,-16.76121711730957,2.614227533340454,-38.610145568847656,-14.044264793395996,-2.1138219833374023,0.794486403465271,-10.909822463989258,14.112176895141602,-16.396167755126953,0.059186261147260666,0.17134743175287356,2539.309213386662,1998.2488612075176,5131.016522988506,3.4,sys0001-utt0003
-283.9981994628906,75.50825500488281,-19.142654418945312,16.16396713256836,-23.425613403320312,-29.36039161682129,14.728559494018555,-9.575966835021973,-27.171424865722656,0.5301908850669861,-14.520569801330566,-3.2399394512176514,-7.375028610229492,0.05225859582424164,0.14832739736519607,1737.7765118090433,1478.2576264555291,3146.752450980392,4.2,sys0001-utt0004
-499.27825927734375,52.28684997558594,15.104310035705566,30.750398635864258,-24.89849853515625,14.813023567199707,-3.164170265197754,-12.310763359069824,-5.03220796585083,-11.341158866882324,-6.167492389678955,-10.259490966796875,-0.7671636343002319,0.018496589735150337,0.0908203125,1526.4912174341212,1561.933601307227,3067.5448430493275,4.2,sys0001-utt0005
-328.7959899902344,47.532432556152344,-1.3559328317642212,-2.0674195289611816,-30.17316246032715,-4.129626274108887,-19.105836868286133,-6.363357067108154,0.45079708099365234,-13.835309982299805,-6.1066813468933105,-12.301493644714355,-12.097430229187012,0.046009790152311325,0.11385337752525253,1821.9449090127769,1724.8394992278584,3612.768308080808,4.8,sys0001-utt0006
-397.8858947753906,48.714969635009766,6.313150882720947,22.381427764892578,-13.689656257629395,-16.652135848999023,-6.76751184463501,-15.86742115020752,-5.254733085632324,-11.713796615600586,-2.1304738521575928,-12.127740859985352,1.3775640726089478,0.03890536352992058,0.10116496128318585,1697.2937843392388,1783.3750656251,3370.022123893805,3.0,sys0001-utt0007
-338.94403076171875,12.163407325744629,-7.4578857421875,-7.0986647605896,-21.352346420288086,-4.2975568771362305,-36.014442443847656,-21.98469352722168,7.18025016784668,-22.820636749267578,-8.098764419555664,-4.1627655029296875,-9.17705249786377,0.036425601691007614,0.13265316611842104,2201.1909939522807,1970.710794161247,4369.5723684210525,3.6,sys0001-utt0008
-311.06634521484375,18.251983642578125,13.978474617004395,5.667130947113037,-38.52814865112305,-7.5503435134887695,-17.433847427368164,-3.698080539703369,-8.150164604187012,-23.41787338256836,-2.7161240577697754,-3.8588500022888184,3.0591721534729004,0.0790434256196022,0.1533935546875,2156.20155223455,1776.0069129951073,4147.75390625,4.0,sys0001-utt0009
-278.5595703125,45.82681655883789,-35.687049865722656,-18.482248306274414,-15.245699882507324,-13.603814125061035,-10.558296203613281,-16.474403381347656,-13.675931930541992,8.879108428955078,-19.199512481689453,0.18782533705234528,-8.117569923400879,0.07300268113613129,0.15553915334302326,1876.0652477939796,1595.5930184377758,3192.7688953488373,4.2,sys0001-utt0010
-313.3491516113281,41.786617279052734,-3.1966583728790283,-4.243172645568848,-24.323612213134766,-3.7089405059814453,-11.936015129089355,1.4812374114990234,-6.040894508361816,-8.319049835205078,-5.143263339996338,-17.76764488220215,-8.40024185180664,0.051225047558546066,0.14244899276859505,1982.9258422942366,1680.930011996928,3414.7081611570247,3.2,sys0001-utt0011
-349.1883850097656,36.64088821411133,-7.370406627655029,-2.874896287918091,-26.389060974121094,-14.110129356384277,-9.203524589538574,-13.061636924743652,-19.597366333007812,1.1096844673156738,-13.716580390930176,-3.7657947540283203,-11.932395935058594,0.05407734960317612,0.1624755859375,1995.1020258543656,1593.9291495779564,3340.7888104838707,4.2,sys0001-utt0012
-306.3789978027344,59.879634857177734,-9.7152099609375,1.0313184261322021,-24.485536575317383,13.07656192779541,-24.38331413269043,1.3156731128692627,-12.376168251037598,-4.030613899230957,-10.64445972442627,8.359389305114746,-22.37404441833496,0.07066578418016434,0.10050862630208333,1658.5477459522779,1578.707522936146,3238.9973958333335,5.0,sys0001-utt0013
-294.19110107421875,28.410057067871094,3.194416046142578,8.061695098876953,-39.254661560058594,-11.686370849609375,-17.262405395507812,-1.6700080633163452,-8.289012908935547,-16.780704498291016,-7.1422438621521,-10.907315254211426,-11.295578002929688,0.054182928055524826,0.1377249053030303,2167.567923169988,1793.3904791114992,4179.924242424242,4.2,sys0001-utt0014
-307.708984375,8.873651504516602,-16.63372230529785,4.743186950683594,-26.988311767578125,-9.992265701293945,-24.478347778320312,-10.915754318237305,0.21707172691822052,-19.93560791015625,-6.6221418380737305,4.601262092590332,14.328076362609863,0.07480231672525406,0.1663330078125,2160.0081065994536,1637.8038654030388,3862.353515625,4.0,sys0001-utt0015
-310.99700927734375,61.61258316040039,-10.306060791015625,6.014240741729736,-25.288745880126953,14.382694244384766,-21.784019470214844,-13.387072563171387,-2.34248685836792,-12.405452728271484,-8.066327095031738,-10.132515907287598,-2.8216137886047363,0.05185430496931076,0.1294921875,1703.5378529618624,1554.543127289879,3139.1276041666665,4.2,sys0001-utt0016
-326.93182373046875,20.441343307495117,-34.71806716918945,-8.486395835876465,-15.88904857635498,-14.733738899230957,-15.297137260437012,-16.106536865234375,6.574995994567871,-15.321696281433105,-9.024084091186523,16.42459487915039,20.245098114013672,0.08261727541685104,0.13582046159351144,1814.9562252260046,1670.6629839142329,3379.9499045801526,4.2,sys0001-utt0017
-324.7556457519531,34.952125549316406,-15.608743667602539,-5.691585540771484,-29.216272354125977,-13.55260181427002,-11.814872741699219,-21.506877899169922,7.389553546905518,-14.73959732055664,-6.227950572967529,-1.487921118736267,-14.298250198364258,0.07053904980421066,0.11903467718160378,1714.1034616236868,1579.1037060220222,3116.745283018868,3.2,sys0001-utt0018
-286.5191650390625,37.0928840637207,-22.17439842224121,19.665063858032227,-38.256683349609375,9.455160140991211,-24.90312957763672,9.748919486999512,-14.19135856628418,-11.121469497680664,-8.710456848144531,-7.352466583251953,-6.052011489868164,0.0572860985994339,0.14983053768382354,2143.1409920366664,1725.7542300674083,4161.228553921569,5.0,sys0001-utt0019
-270.1155700683594,11.915685653686523,-10.91990852355957,15.047500610351562,-28.723255157470703,-20.52682876586914,-8.545894622802734,-5.054574489593506,-18.371427536010742,-4.899287700653076,-18.622407913208008,-0.3959636688232422,0.46999579668045044,0.0839197114109993,0.1467150354677914,2177.452576979133,1753.2162619464084,3992.618865030675,4.2,sys0001-utt0020
-308.9206237792969,60.782779693603516,-23.958877563476562,20.8662052154541,-38.206298828125,2.793428659439087,-13.787290573120117,-7.361771583557129,1.4674310684204102,-18.96377182006836,-5.7023820877075195,-10.33663272857666,-4.156588554382324,0.05411665886640549,0.09210759943181818,1615.4665547273066,1544.4432455706778,3282.1180555555557,5.0,sys0001-utt0021
-247.4503173828125,9.44875717163086,-29.944236755371094,-20.255544662475586,-28.52030372619629,-3.145841121673584,-28.789857864379883,-10.916709899902344,-1.6138638257980347,-13.071355819702148,-0.27177560329437256,15.609264373779297,8.912212371826172,0.09181277453899384,0.17014871432086615,2264.9790198806572,1805.825930329744,4266.670767716535,3.6,sys0001-utt0022
